OBJECTID,CALCACREAG,PARNO,MAPNUMBER,MAP_PARCEL,CNTRL_NO,TYPE_,APPLICATIO,PROJECT_NA,ST_ADD,RESULTS,ZONING_FRO,ZONING_TO,HOUSING_UN,CCACTDATE,CC_ACTION,PC_ACTION,PCACTDATE,ARCACTDATE,ARC_ACTION,AGE_RESTRI,AGE_REST_2,FINALAPPRO,DATEOFAPPL,INLOS,ENTEREDDT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,PLANNER,RESIDENTIAL,STF_RCMNDTNS,FINALACTIONDATE,DATECERTPH,EBUILD_LINK,SHAPESTArea,SHAPESTLength
3,0.98279996,,,0150000001920,150000001920,Rezoning,R(C)-06-02,5000 Portsmouth Blvd,5000 Portsmouth Blvd,Zoning reclassification of a .67 acre parcel from R-15s to O & I,R-15s,O & I,0,2006/05/16 00:00:00+00,A,A,2006/04/12 00:00:00+00,,NA,0,0,Approved,04/01/2006,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,,2006/05/16 00:00:00+00,,,42810.7661371038,872.717363737971
4,1.44440919,,,0460000000430,460000000430,Use Permit,UP-03-27,Tire and Lube Express,Intersection of Dominion Blvd and Shillelagh Rd,Proposed Auto repair,R-15s,B-2,0,,NA,W,2004/05/20 00:00:00+00,,NA,0,0,Withdrawn,04/01/2004,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,,2004/05/20 00:00:00+00,,,225936.88152342,2666.51039324243
6,2.64525901,,,0340000002030,340000002030,Subdivision,S-07-46,Ferrell Estates,N side of Shell Rd,Minor Subdivision of 3 lots,,,3,,NA,NA,,,NA,0,0,Approved,01/30/2007,Y,,,,JVUTUROBRADY,2022/06/29 15:31:44+00,,YES,,2007/01/30 00:00:00+00,,,115227.482363149,1455.65064589349
9,0.90439473,,,0460000000361,460000000361,Use Permit,UP-07-43,Grassfield Substation,1777 Cedar Rd,Use permit to allow an electrical power substation,R-15,R-15,0,2007/12/18 00:00:00+00,A,A,2007/11/14 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,AS,2007/12/18 00:00:00+00,,,156389.852814554,2030.05639617493
10,12.54824741,,0870000,0870000000640,870000000640,Subdivision,S-07-177,Beaver Creek Acres,,,,,3,,NA,NA,,,NA,0,0,Approved,12/13/2007,Y,,,,JVUTUROBRADY,2022/06/29 15:31:44+00,,NO,,2007/12/13 00:00:00+00,,,546601.657016426,4089.61226044257
15,62.08277705,2,0270000,0270000000020,270000000020,Site Plan,SP-07-03R,Osprey Cove,End of McCloud Rd and 4425 Bainbridge Blvd,Plan for dev of 77 condo row houses and 23 detached condo with clubhouse,R-MF-1 and R-8s,R-MF-1 and R-8s,0,,NA,NA,,,,0,0,Withdrawn,,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,YES,,,,,3116880.96276606,10355.888375945
18,10.73431019,90C,0370000,0370000000903,370000000903,Use Permit,UP-08-18,The Grove at the Arboretum,Green Tree Rd next to Cpk Pk and Butts Sta Rd Pk,Permit to allow group housing for the elderly 112 condo units,O & I,O & I,112,2008/10/21 00:00:00+00,A,A,2008/09/10 00:00:00+00,,NA,YES,112,Approved,,Y,,,,JVUTUROBRADY,2022/06/29 15:31:44+00,,YES,AS,2008/10/21 00:00:00+00,,,467586.552077092,3157.06915943754
19,6.24538829,99,0280000,0280000000990,280000000990,PUD,GB(M)-07-03R,River Birch Retreat,E side of River Birch Run 600ft N of Eden Way N,Modification to allow two hotel construction two phases,PUD,PUD,0,2008/10/21 00:00:00+00,A,A,2008/09/10 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,A,2008/10/21 00:00:00+00,,,279349.001058178,2626.2461513358
20,0.13725049,123,1580000,1580000001230,1580000001230,Use Permit,UP-08-19,Miles St Motor Vehicle Repair ,4006 Miles Street,Permit to allow a motor vehilce repair garage,B-3,B-3,0,,,,,2008/08/04 00:00:00+00,W,0,0,Withdrawn,,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,,2008/08/04 00:00:00+00,,,5978.63132397212,309.363755640079
21,9.54711954,217,0150000,0150000002170,150000002170,Use Permit,UP-08-20,Value Place Hotel,S side of Gum Rd 1500ft from Portsmouth Blvd,Permit to construct a 4 floor hotel,O & I,O & I,0,2008/10/21 00:00:00+00,A,A,2008/09/10 00:00:00+00,,NA,0,0,Approved,,N,,,,JVUTUROBRADY,2023/12/22 14:09:27+00,,NO,AS,2008/10/21 00:00:00+00,,,415872.526994094,2845.01207329995
