date,product_id,category,units_sold,revenue
2021-01-01,1,Sports,22.0,1669.3480047865821
2021-01-01,2,Clothing,19.0,1213.7060079769326
2021-01-01,3,Sports,18.0,274.09545171248317
2021-01-01,4,Home & Kitchen,18.0,1583.2053561553948
2021-01-01,5,Sports,27.0,320.02032113879994
2021-01-01,6,Toys,23.0,2237.7133939753285
2021-01-01,7,Home & Kitchen,17.0,448.19219982686394
2021-01-01,8,Home & Kitchen,22.0,583.140929509799
2021-01-01,9,Toys,21.0,1026.3760852335988
2021-01-01,10,Toys,10.0,362.10622617823776
2021-01-01,11,Sports,14.0,508.10225715437485
2021-01-01,12,Toys,21.0,902.4238838250773
2021-01-01,13,Sports,27.0,755.2072906448142
2021-01-01,14,Sports,18.0,1013.0597902300508
2021-01-01,15,Sports,17.0,1099.5436234092008
2021-01-01,16,Clothing,20.0,506.94342263712474
2021-01-01,17,Sports,16.0,1145.2955581775059
2021-01-01,18,Sports,18.0,893.0470398581541
2021-01-01,19,Clothing,19.0,248.80437110702346
2021-01-01,20,Home & Kitchen,14.0,1285.7437066192654
2021-01-01,21,Electronics,24.0,913.2959243531277
2021-01-01,22,Toys,13.0,738.4795847780387
2021-01-01,23,Electronics,13.0,1264.4140144845335
2021-01-01,24,Toys,20.0,1595.2390820500063
2021-01-01,25,Home & Kitchen,23.0,413.1794792474734
2021-01-01,26,Sports,20.0,552.7691523544613
2021-01-01,27,Toys,19.0,854.6381653690142
2021-01-01,28,Electronics,18.0,619.5854314737113
2021-01-01,29,Clothing,17.0,599.8297998216926
2021-01-01,30,Home & Kitchen,25.0,1471.066187106059
2021-01-01,31,Home & Kitchen,21.0,350.90071655476686
2021-01-01,32,Home & Kitchen,18.0,1778.756837292838
2021-01-01,33,Sports,16.0,167.95184865798745
2021-01-01,34,Home & Kitchen,23.0,1918.0051569015066
2021-01-01,35,Clothing,25.0,1985.358280043378
2021-01-01,36,Home & Kitchen,24.0,399.9364477456352
2021-01-01,37,Clothing,15.0,1315.1896249320512
2021-01-01,38,Sports,18.0,1189.742965460644
2021-01-01,39,Sports,17.0,645.8029522249632
2021-01-01,40,Home & Kitchen,19.0,746.0634806657374
2021-01-01,41,Toys,24.0,2156.3795239648653
2021-01-01,42,Toys,26.0,1364.9829248789613
2021-01-01,43,Sports,21.0,1647.8837418859362
2021-01-01,44,Toys,16.0,968.2391645000746
2021-01-01,45,Electronics,19.0,1083.8731382432097
2021-01-01,46,Toys,27.0,1308.9246746112756
2021-01-01,47,Home & Kitchen,20.0,765.840765937388
2021-01-01,48,Sports,18.0,1003.8845196868185
2021-01-01,49,Electronics,18.0,844.8203353177203
2021-01-01,50,Toys,21.0,1637.9916518463622
2021-01-01,51,Electronics,15.0,1405.0918306624737
2021-01-01,52,Toys,17.0,1406.424180733558
2021-01-01,53,Home & Kitchen,24.0,1975.9316861020875
2021-01-01,54,Home & Kitchen,21.0,562.6174112946077
2021-01-01,55,Electronics,20.0,1653.3922792953126
2021-01-01,56,Clothing,24.0,2175.5572078347454
2021-01-01,57,Sports,16.0,488.226634060396
